species,thicket ,id,wound,tank,sample,treatment,biopsy_day,plug_buoyant_weight_uncorrected,temp_plug,temp_fw,plug_ref_sw,plug_ref_fw,plug_ref_dry,initial_coral_buoyant_weigh_uncorrected,initial_temp_coral,initial_temp_fw,initial_ref_sw,initial_ref_fw,final_coral_weight_uncorrected,final_temp_coral,final_temp_fw,final_ref_sw,final_ref_fw,,
a. pulchra,d,154.0,no,5.0,gene/physio,31.0,15.0,3.3482,27.9,27.9,25.7784,26.203,47.395,5.27,30.5,30.5,25.7984,26.2254,5.3692,30.1,30.1,25.7957,26.2227,,
a. pulchra,a,162.0,no,3.0,gene/physio,28.0,15.0,3.2815,27.9,27.9,25.7784,26.203,47.395,6.0794,27.8,27.8,25.776,26.2003,6.2527,27.9,27.9,25.7784,26.203,,
a. pulchra,c,129.0,yes,3.0,gene/physio,28.0,15.0,3.3116,27.9,27.9,25.7784,26.203,47.395,5.8848,27.8,27.8,25.776,26.2003,6.048,27.9,27.9,25.7784,26.203,,
a. pulchra,c,124.0,no,5.0,gene/physio,31.0,15.0,3.22,27.9,27.9,25.7784,26.203,47.395,6.1063,30.5,30.5,25.7984,26.2254,6.3109,30.1,30.1,25.7957,26.2227,,
a. pulchra,a,175.0,yes,10.0,gene/physio,31.0,15.0,3.203,27.9,27.9,25.7784,26.203,47.395,4.9458,30.5,30.5,25.7984,26.2254,5.0773,29.9,29.9,25.7905,26.2186,,
a. pulchra,a,161.0,no,5.0,gene/physio,31.0,15.0,3.0473,27.9,27.9,25.7784,26.203,47.395,5.3316,30.5,30.5,25.7984,26.2254,5.5157,30.1,30.1,25.7957,26.2227,,
a. pulchra,d,149.0,yes,11.0,gene/physio,31.0,15.0,3.2803,27.9,27.9,25.7784,26.203,47.395,5.6673,30.5,30.5,25.7984,26.2254,5.8596,29.7,29.7,25.7853,26.216,,
a. pulchra,c,141.0,no,4.0,gene/physio,31.0,15.0,3.4187,27.9,27.9,25.7784,26.203,47.395,6.2215,30.5,30.5,25.7984,26.2254,6.4501,30.1,30.1,25.7957,26.2227,,
a. pulchra,a,165.0,no,4.0,gene/physio,31.0,15.0,3.3003,27.9,27.9,25.7784,26.203,47.395,5.4316,30.5,30.5,25.7984,26.2254,5.6092,30.1,30.1,25.7957,26.2227,,
a. pulchra,c,121.0,yes,9.0,gene/physio,28.0,15.0,3.0799,27.9,27.9,25.7784,26.203,47.395,6.8003,27.8,27.8,25.776,26.2003,7.1165,27.9,27.9,25.7784,26.203,,
