"id","day","date","treatment","tank","thicket","hole_in_center_REFERENCE","polyp_in_hole_RESCORED","rescorer","rescore_notes"
110,0,"2025-06-04",31,10,"d","no","","",""
110,1,"2025-06-05",31,10,"d","no","","",""
110,2,"2025-06-06",31,10,"d","no","","",""
110,3,"2025-06-07",31,10,"d","no","","",""
110,4,"2025-06-08",31,10,"d","yes","","",""
110,5,"2025-06-09",31,10,"d","yes","","",""
110,6,"2025-06-10",31,10,"d","yes","","",""
110,7,"2025-06-11",31,10,"d","yes","","",""
110,8,"2025-06-12",31,10,"d","yes","","",""
110,9,"2025-06-13",31,10,"d","yes","","",""
110,10,"2025-06-14",31,10,"d","yes","","",""
110,11,"2025-06-15",31,10,"d","yes","","",""
110,12,"2025-06-16",31,10,"d","yes","","",""
110,13,"2025-06-17",31,10,"d","yes","","",""
110,14,"2025-06-18",31,10,"d","yes","","",""
110,15,"2025-06-19",31,10,"d","yes","","",""
113,0,"2025-06-04",28,3,"d","no","","",""
113,1,"2025-06-05",28,3,"d","no","","",""
113,2,"2025-06-06",28,3,"d","no","","",""
113,3,"2025-06-07",28,3,"d","yes","","",""
113,4,"2025-06-08",28,3,"d","yes","","",""
113,5,"2025-06-09",28,3,"d","yes","","",""
113,6,"2025-06-10",28,3,"d","yes","","",""
113,7,"2025-06-11",28,3,"d","yes","","",""
113,8,"2025-06-12",28,3,"d","yes","","",""
113,9,"2025-06-13",28,3,"d","yes","","",""
113,10,"2025-06-14",28,3,"d","yes","","",""
113,11,"2025-06-15",28,3,"d","yes","","",""
113,12,"2025-06-16",28,3,"d","yes","","",""
113,13,"2025-06-17",28,3,"d","yes","","",""
113,14,"2025-06-18",28,3,"d","yes","","",""
113,15,"2025-06-19",28,3,"d","yes","","",""
115,0,"2025-06-04",31,5,"c","no","","",""
115,1,"2025-06-05",31,5,"c","no","","",""
115,2,"2025-06-06",31,5,"c","no","","",""
115,3,"2025-06-07",31,5,"c","yes","","",""
115,4,"2025-06-08",31,5,"c","yes","","",""
115,5,"2025-06-09",31,5,"c","yes","","",""
115,6,"2025-06-10",31,5,"c","yes","","",""
115,7,"2025-06-11",31,5,"c","yes","","",""
115,8,"2025-06-12",31,5,"c","yes","","",""
115,9,"2025-06-13",31,5,"c","yes","","",""
115,10,"2025-06-14",31,5,"c","yes","","",""
115,11,"2025-06-15",31,5,"c","yes","","",""
115,12,"2025-06-16",31,5,"c","yes","","",""
115,13,"2025-06-17",31,5,"c","yes","","",""
115,14,"2025-06-18",31,5,"c","yes","","",""
115,15,"2025-06-19",31,5,"c","yes","","",""
