Well,Plate,Day,Temp,Wound,Tank,Genotype,Sample_ID,Role,Notes
A1,Plate_2,1.0,28 °C,W,3.0,D,28C_T3_D_D1_W_id203,sample,
A10,Plate_2,1.0,31 °C,U,5.0,A,31C_T5_A_D1_U_id198,sample,branch on original tip
A11,Plate_2,1.0,31 °C,W,5.0,C,31C_T5_C_D1_W_id263,sample,
A12,Plate_2,1.0,31 °C,U,5.0,C,31C_T5_C_D1_U_id278,sample,
A2,Plate_2,1.0,28 °C,U,3.0,D,28C_T3_D_D1_U_id246,sample,
A3,Plate_2,1.0,28 °C,W,6.0,A,28C_T6_A_D1_W_id140,sample,
A4,Plate_2,1.0,28 °C,U,6.0,A,28C_T6_A_D1_U_id192,sample,
A5,Plate_2,1.0,28 °C,W,6.0,C,28C_T6_C_D1_W_id268,sample,
A6,Plate_2,1.0,28 °C,U,6.0,C,28C_T6_C_D1_U_id280,sample,
A7,Plate_2,1.0,31 °C,W,4.0,D,31C_T4_D_D1_W_id224,sample,
A8,Plate_2,1.0,31 °C,U,4.0,D,31C_T4_D_D1_U_id249,sample,
A9,Plate_2,1.0,31 °C,W,5.0,A,31C_T5_A_D1_W_id183,sample,dark tip
B1,Plate_2,1.0,28 °C,W,9.0,D,28C_T9_D_D1_W_id227,sample,
B10,Plate_2,1.0,31 °C,U,11.0,A,31C_T11_A_D1_U_id188,sample,
B11,Plate_2,1.0,31 °C,W,11.0,C,31C_T11_C_D1_W_id300,sample,2 tips
B12,Plate_2,1.0,31 °C,U,11.0,C,31C_T11_C_D1_U_id264,sample,tip with branch
B2,Plate_2,1.0,28 °C,U,9.0,D,28C_T9_D_D1_U_id257,sample,
B3,Plate_2,1.0,28 °C,W,12.0,A,28C_T12_A_D1_W_id164,sample,
B4,Plate_2,1.0,28 °C,U,12.0,A,28C_T12_A_D1_U_id151,sample,
B5,Plate_2,1.0,28 °C,W,12.0,C,28C_T12_C_D1_W_id294,sample,
B6,Plate_2,1.0,28 °C,U,12.0,C,28C_T12_C_D1_U_id287,sample,
B7,Plate_2,1.0,31 °C,W,10.0,D,31C_T10_D_D1_W_id256,sample,2 tips
B8,Plate_2,1.0,31 °C,U,10.0,D,31C_T10_D_D1_U_id259,sample,
B9,Plate_2,1.0,31 °C,W,11.0,A,31C_T11_A_D1_W_id181,sample,
C1,Plate_2,,,,,,,unused
C10,Plate_2,,,,,,,control,Control/Anchor
C11,Plate_2,,,,,,,control,Control/Anchor
C12,Plate_2,,,,,,,control,Control/Anchor
C2,Plate_2,,,,,,,unused
C3,Plate_2,,,,,,,unused
C4,Plate_2,,,,,,,unused
C5,Plate_2,,,,,,,unused
C6,Plate_2,,,,,,,unused
C7,Plate_2,,,,,,,unused
C8,Plate_2,,,,,,,unused
C9,Plate_2,,,,,,,control,Control/Anchor
D1,Plate_2,3.0,28 °C,W,3.0,A,28C_T3_A_D3_W_id160,sample,
D10,Plate_2,3.0,31 °C,U,4.0,C,31C_T4_C_D3_U_id289,sample,
D11,Plate_2,3.0,31 °C,W,5.0,D,31C_T5_D_D3_W_id221,sample,
D12,Plate_2,3.0,31 °C,U,5.0,D,31C_T5_D_D3_U_id239,sample,
D2,Plate_2,3.0,28 °C,U,3.0,A,28C_T3_A_D3_U_id134,sample,"wound with branch, fell off"
D3,Plate_2,3.0,28 °C,W,3.0,C,28C_T3_C_D3_W_id250,sample,
D4,Plate_2,3.0,28 °C,U,3.0,C,28C_T3_C_D3_U_id290,sample,
D5,Plate_2,3.0,28 °C,W,6.0,D,28C_T6_D_D3_W_id245,sample,
D6,Plate_2,3.0,28 °C,U,6.0,D,28C_T6_D_D3_U_id220,sample,double tip
D7,Plate_2,3.0,31 °C,W,4.0,A,31C_T4_A_D3_W_id138,sample,
D8,Plate_2,3.0,31 °C,U,4.0,A,31C_T4_A_D3_U_id211,sample,
D9,Plate_2,3.0,31 °C,W,4.0,C,31C_T4_C_D3_W_id295,sample,
E1,Plate_2,3.0,28 °C,W,9.0,A,28C_T9_A_D3_W_id187,sample,
E10,Plate_2,3.0,31 °C,U,10.0,C,31C_T10_C_D3_U_id255,sample,
E11,Plate_2,3.0,31 °C,W,11.0,D,31C_T11_D_D3_W_id219,sample,
E12,Plate_2,3.0,31 °C,U,11.0,D,31C_T11_D_D3_U_id185,sample,
E2,Plate_2,3.0,28 °C,U,9.0,A,28C_T9_A_D3_U_id157,sample,
E3,Plate_2,3.0,28 °C,W,9.0,C,28C_T9_C_D3_W_id272,sample,
E4,Plate_2,3.0,28 °C,U,9.0,C,28C_T9_C_D3_U_id271,sample,
E5,Plate_2,3.0,28 °C,W,12.0,D,28C_T12_D_D3_W_id223,sample,
E6,Plate_2,3.0,28 °C,U,12.0,D,28C_T12_D_D3_U_id201,sample,
E7,Plate_2,3.0,31 °C,W,10.0,A,31C_T10_A_D3_W_id193,sample,
E8,Plate_2,3.0,31 °C,U,10.0,A,31C_T10_A_D3_U_id155,sample,
E9,Plate_2,3.0,31 °C,W,10.0,C,31C_T10_C_D3_W_id266,sample,2 tips
F1,Plate_2,,,,,,,unused
F10,Plate_2,,,,,,,control,Control/Anchor
F11,Plate_2,,,,,,,control,Control/Anchor
F12,Plate_2,,,,,,,control,Control/Anchor
F2,Plate_2,,,,,,,unused
F3,Plate_2,,,,,,,unused
F4,Plate_2,,,,,,,unused
F5,Plate_2,,,,,,,unused
F6,Plate_2,,,,,,,unused
F7,Plate_2,,,,,,,unused
F8,Plate_2,,,,,,,unused
F9,Plate_2,,,,,,,control,Control/Anchor
G1,Plate_2,10.0,28 °C,W,3.0,D,28C_T3_D_D10_W_id258,sample,tip with extension
G10,Plate_2,10.0,31 °C,U,5.0,A,31C_T5_A_D10_U_id180,sample,paling
G11,Plate_2,10.0,31 °C,W,5.0,C,31C_T5_C_D10_W_id251,sample,tip with extension
G12,Plate_2,10.0,31 °C,U,5.0,C,31C_T5_C_D10_U_id277,sample,
G2,Plate_2,10.0,28 °C,U,3.0,D,28C_T3_D_D10_U_id204,sample,
G3,Plate_2,10.0,28 °C,W,6.0,A,28C_T6_A_D10_W_id135,sample,wound is smooth and tip exists but without extension
G4,Plate_2,10.0,28 °C,U,6.0,A,28C_T6_A_D10_U_id199,sample,
G5,Plate_2,10.0,28 °C,W,6.0,C,28C_T6_C_D10_W_id292,sample,tip has extension
