Sample_ID,Temp_C,Day,Wound,Tank,Genotype,Fragment_ID,SampleType,BiopsyDate,Notes,Plate,WoundOrder
28C_T3_A_D1_U_id111,28.0,1.0,U,3.0,A,111.0,gene,2025-06-05 00:00:00,,1.0,1.0
28C_T3_A_D1_W_id209,28.0,1.0,W,3.0,A,209.0,gene,2025-06-05 00:00:00,,1.0,0.0
28C_T3_C_D1_U_id298,28.0,1.0,U,3.0,C,298.0,gene,2025-06-05 00:00:00,,1.0,1.0
28C_T3_C_D1_W_id296,28.0,1.0,W,3.0,C,296.0,gene,2025-06-05 00:00:00,,1.0,0.0
28C_T3_D_D1_U_id246,28.0,1.0,U,3.0,D,246.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T3_D_D1_W_id203,28.0,1.0,W,3.0,D,203.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T6_A_D1_U_id192,28.0,1.0,U,6.0,A,192.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T6_A_D1_W_id140,28.0,1.0,W,6.0,A,140.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T6_C_D1_U_id280,28.0,1.0,U,6.0,C,280.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T6_C_D1_W_id268,28.0,1.0,W,6.0,C,268.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T6_D_D1_U_id222,28.0,1.0,U,6.0,D,222.0,gene,2025-06-05 00:00:00,,1.0,1.0
28C_T6_D_D1_W_id238,28.0,1.0,W,6.0,D,238.0,gene,2025-06-05 00:00:00,,1.0,0.0
28C_T9_A_D1_U_id148,28.0,1.0,U,9.0,A,148.0,gene,2025-06-05 00:00:00,wound with branch,1.0,1.0
28C_T9_A_D1_W_id159,28.0,1.0,W,9.0,A,159.0,gene,2025-06-05 00:00:00,,1.0,0.0
28C_T9_C_D1_U_id261,28.0,1.0,U,9.0,C,261.0,gene,2025-06-05 00:00:00,original tip with branch,1.0,1.0
28C_T9_C_D1_W_id288,28.0,1.0,W,9.0,C,288.0,gene,2025-06-05 00:00:00,,1.0,0.0
28C_T9_D_D1_U_id257,28.0,1.0,U,9.0,D,257.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T9_D_D1_W_id227,28.0,1.0,W,9.0,D,227.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T12_A_D1_U_id151,28.0,1.0,U,12.0,A,151.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T12_A_D1_W_id164,28.0,1.0,W,12.0,A,164.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T12_C_D1_U_id287,28.0,1.0,U,12.0,C,287.0,gene,2025-06-05 00:00:00,,2.0,1.0
28C_T12_C_D1_W_id294,28.0,1.0,W,12.0,C,294.0,gene,2025-06-05 00:00:00,,2.0,0.0
28C_T12_D_D1_U_id234,28.0,1.0,U,12.0,D,234.0,gene,2025-06-05 00:00:00,,1.0,1.0
28C_T12_D_D1_W_id231,28.0,1.0,W,12.0,D,231.0,gene,2025-06-05 00:00:00,2 tips,1.0,0.0
28C_T3_A_D3_U_id134,28.0,3.0,U,3.0,A,134.0,gene,2025-06-07 00:00:00,"wound with branch, fell off",2.0,1.0
28C_T3_A_D3_W_id160,28.0,3.0,W,3.0,A,160.0,gene,2025-06-07 00:00:00,,2.0,0.0
28C_T3_C_D3_U_id290,28.0,3.0,U,3.0,C,290.0,gene,2025-06-07 00:00:00,,2.0,1.0
28C_T3_C_D3_W_id250,28.0,3.0,W,3.0,C,250.0,gene,2025-06-07 00:00:00,,2.0,0.0
28C_T3_D_D3_U_id242,28.0,3.0,U,3.0,D,242.0,gene,2025-06-07 00:00:00,,1.0,1.0
28C_T3_D_D3_W_id247,28.0,3.0,W,3.0,D,247.0,gene,2025-06-07 00:00:00,wound has growing tip already,1.0,0.0
28C_T6_A_D3_U_id194,28.0,3.0,U,6.0,A,194.0,gene,2025-06-07 00:00:00,chlorophyll with branch,1.0,1.0
28C_T6_A_D3_W_id208,28.0,3.0,W,6.0,A,208.0,gene,2025-06-07 00:00:00,,1.0,0.0
28C_T6_C_D3_U_id281,28.0,3.0,U,6.0,C,281.0,gene,2025-06-07 00:00:00,,1.0,1.0
28C_T6_C_D3_W_id282,28.0,3.0,W,6.0,C,282.0,gene,2025-06-07 00:00:00,wound looks covered in coenosarc,1.0,0.0
28C_T6_D_D3_U_id220,28.0,3.0,U,6.0,D,220.0,gene,2025-06-07 00:00:00,double tip,2.0,1.0
28C_T6_D_D3_W_id245,28.0,3.0,W,6.0,D,245.0,gene,2025-06-07 00:00:00,,2.0,0.0
28C_T9_A_D3_U_id157,28.0,3.0,U,9.0,A,157.0,gene,2025-06-07 00:00:00,,2.0,1.0
28C_T9_A_D3_W_id187,28.0,3.0,W,9.0,A,187.0,gene,2025-06-07 00:00:00,,2.0,0.0
