ID,height (mm),diameter (mm),Surface area (mm),dry weight (g),wax weight (g),wax - dry (g),,wax-dry,surface area,,,,,,
1.0,2.65,6.32,=2*3.14159*(C2/2)*B2,0.743,0.7466,=F2-E2,,=G2,=D2,,,,,,
2.0,5.32,7.93,=2*3.14159*(C3/2)*B3,1.0849,1.0932,=F3-E3,,=G3,=D3,,,,,,
3.0,2.44,10.72,=2*3.14159*(C4/2)*B4,0.8017,0.8094,=F4-E4,,=G4,=D4,,,,,,
4.0,5.96,11.81,=2*3.14159*(C5/2)*B5,0.2415,0.2724,=F5-E5,,=G5,=D5,,,,,,
5.0,5.36,9.66,=2*3.14159*(C6/2)*B6,0.6677,0.6844,=F6-E6,,=G6,=D6,,,,,,
6.0,6.61,10.83,=2*3.14159*(C7/2)*B7,0.7986,0.8189,=F7-E7,,=G7,=D7,,,,,,
7.0,9.52,11.38,=2*3.14159*(C8/2)*B8,0.942,0.9798,=F8-E8,,=G8,=D8,,,,,,
8.0,8.57,11.4,=2*3.14159*(C9/2)*B9,0.9688,1.003,=F9-E9,,=G9,=D9,,,,,,
9.0,7.41,10.84,=2*3.14159*(C10/2)*B10,0.8124,0.84,=F10-E10,,=G10,=D10,,,,,,
10.0,9.43,10.98,=2*3.14159*(C11/2)*B11,0.837,0.872,=F11-E11,,=G11,=D11,,,,,,
11.0,11.84,11.42,=2*3.14159*(C12/2)*B12,0.9983,1.046,=F12-E12,,=G12,=D12,,,,,,
12.0,20.19,11.44,=2*3.14159*(C13/2)*B13,0.9774,1.0757,=F13-E13,,=G13,=D13,,,,,,
13.0,20.11,12.74,=2*3.14159*(C14/2)*B14,1.5476,1.6878,=F14-E14,,=G14,=D14,,,,,,
14.0,31.53,11.41,=2*3.14159*(C15/2)*B15,2.2274,2.4053,=F15-E15,,=G15,=D15,,,,,,
15.0,33.6,11.75,=2*3.14159*(C16/2)*B16,2.2551,2.4252,=F16-E16,,=G16,=D16, ,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,15 data points,6188*x + 75.2,R2 = 0.976,,
,,,,,,,,,,,14 data points,5810*x +85.7,R2 = 0.977,"**Use this one, least number of points with maximum R^2",
,,,,,,,,,,,13 data points,5726*x +88.1,R2 = 0.954,"Includes full range, but less precise",
,,,,,,,,,,,12 data points,7067*x+54.2,R2 = 0.978,"Doesn't include full range, do not use",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
