trait,check,statistic,p_value,status,notes
hole_in_center,convergence,0,NA,HANDLED,"handled by penalized blme refit in script 12c: unable to evaluate scaled gradient; Model failed to converge: degenerate  Hessian with 3 negative eigenvalues
  See ?lme4::convergence and ?lme4::troubleshooting."
hole_in_center,singular_fit,0,NA,PASS,non-singular
hole_in_center,re_var_id,16012.370195715428,NA,PASS,variance > 1e-4
hole_in_center,re_var_tank,16.168210311201033,NA,PASS,variance > 1e-4
hole_in_center,max_fixed_effect_SE,1089048.7858470406,NA,HANDLED,Likely separation; handled by penalized blme refit in script 12c
hole_in_center,DHARMa_uniformity_KS,0.05136746985744685,0.2629995944104947,PASS,KS test on scaled residuals
hole_in_center,DHARMa_dispersion,0.31110971897081857,0,HANDLED,ratio=0.311 underdispersion expected for saturated closure trait; closure inference uses interval-censored timing/event summaries
hole_in_center,DHARMa_outliers,2,0.6687289679144193,PASS,binomial outlier test
hole_in_center,DHARMa_dispersion_refit,NA,NA,HANDLED,skipped refit=TRUE; underdispersion already handled as saturated closure trait
hole_in_center,pred_p_ambient_end,0.9999999999999998,NA,PASS,"predicted at day 15, 28C"
hole_in_center,pred_p_hot_end,0.9999999999999998,NA,PASS,"predicted at day 15, 31C"
new_corallites_on_tip,convergence,0,NA,HANDLED,handled by penalized blme refit in script 12c: boundary (singular) fit: see help('isSingular')
new_corallites_on_tip,singular_fit,1,NA,WARN,isSingular=TRUE; RE variance ~0
new_corallites_on_tip,re_var_id,649.4685378725898,NA,PASS,variance > 1e-4
new_corallites_on_tip,re_var_tank,0,NA,WARN,Near-zero variance component
new_corallites_on_tip,max_fixed_effect_SE,7786342.64137633,NA,HANDLED,Likely separation; handled by penalized blme refit in script 12c
new_corallites_on_tip,DHARMa_uniformity_KS,0.047372053222109856,0.35486835998724664,PASS,KS test on scaled residuals
new_corallites_on_tip,DHARMa_dispersion,0.5021788931765946,0.032,WARN,ratio=0.502
new_corallites_on_tip,DHARMa_outliers,2,0.6687289679144193,PASS,binomial outlier test
new_corallites_on_tip,DHARMa_zero_inflation,1.0076252723311547,0.816,PASS,tested because mean p extreme
new_corallites_on_tip,DHARMa_dispersion_refit,NA,NA,WARN,refit=TRUE follow-up
new_corallites_on_tip,pred_p_ambient_end,0.9999999996802473,NA,PASS,"predicted at day 15, 28C"
new_corallites_on_tip,pred_p_hot_end,0.3333549673926331,NA,PASS,"predicted at day 15, 31C"
pigment_over_wound,convergence,0,NA,HANDLED,handled by penalized blme refit in script 12c: boundary (singular) fit: see help('isSingular')
pigment_over_wound,singular_fit,1,NA,WARN,isSingular=TRUE; RE variance ~0
