trait,scope,check,statistic,p_value,status,notes
hole_in_center,overall_strata_thicket,PH_treatment,0.085,0.7712,PASS,"cox.zph chisq=0.08, df=1"
hole_in_center,overall_strata_thicket,PH_GLOBAL,0.085,0.7712,PASS,"cox.zph chisq=0.08, df=1"
hole_in_center,overall_strata_thicket,EPV,24,NA,PASS,"n_event=24, n_covariates=1 (rule of thumb: EPV >= 10)"
hole_in_center,overall_strata_thicket,HR_direction,1.378,0.4468,PASS,HR(31C vs 28C)=1.38 — faster onset under 31C
hole_in_center,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
hole_in_center,genet_a,PH_treatment,0.143,0.7057,WARN,"cox.zph chisq=0.14, df=1"
hole_in_center,genet_a,PH_GLOBAL,0.143,0.7057,WARN,"cox.zph chisq=0.14, df=1"
hole_in_center,genet_a,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
hole_in_center,genet_a,HR_direction,1.44,0.6097,PASS,HR(31C vs 28C)=1.44 — faster onset under 31C
hole_in_center,genet_c,PH_treatment,0.401,0.5264,WARN,"cox.zph chisq=0.4, df=1"
hole_in_center,genet_c,PH_GLOBAL,0.401,0.5264,WARN,"cox.zph chisq=0.4, df=1"
hole_in_center,genet_c,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
hole_in_center,genet_c,HR_direction,1.209,0.7894,PASS,HR(31C vs 28C)=1.21 — faster onset under 31C
hole_in_center,genet_d,PH_treatment,0.415,0.5196,WARN,"cox.zph chisq=0.41, df=1"
hole_in_center,genet_d,PH_GLOBAL,0.415,0.5196,WARN,"cox.zph chisq=0.41, df=1"
hole_in_center,genet_d,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
hole_in_center,genet_d,HR_direction,1.523,0.5844,PASS,HR(31C vs 28C)=1.52 — faster onset under 31C
polyp_in_hole,overall_strata_thicket,PH_treatment,0.085,0.7712,PASS,"cox.zph chisq=0.08, df=1"
polyp_in_hole,overall_strata_thicket,PH_GLOBAL,0.085,0.7712,PASS,"cox.zph chisq=0.08, df=1"
polyp_in_hole,overall_strata_thicket,EPV,24,NA,PASS,"n_event=24, n_covariates=1 (rule of thumb: EPV >= 10)"
polyp_in_hole,overall_strata_thicket,HR_direction,1.378,0.4468,PASS,HR(31C vs 28C)=1.38 — faster onset under 31C
polyp_in_hole,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
polyp_in_hole,genet_a,PH_treatment,0.143,0.7057,WARN,"cox.zph chisq=0.14, df=1"
polyp_in_hole,genet_a,PH_GLOBAL,0.143,0.7057,WARN,"cox.zph chisq=0.14, df=1"
polyp_in_hole,genet_a,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
polyp_in_hole,genet_a,HR_direction,1.44,0.6097,PASS,HR(31C vs 28C)=1.44 — faster onset under 31C
polyp_in_hole,genet_c,PH_treatment,0.401,0.5264,WARN,"cox.zph chisq=0.4, df=1"
polyp_in_hole,genet_c,PH_GLOBAL,0.401,0.5264,WARN,"cox.zph chisq=0.4, df=1"
polyp_in_hole,genet_c,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
polyp_in_hole,genet_c,HR_direction,1.209,0.7894,PASS,HR(31C vs 28C)=1.21 — faster onset under 31C
polyp_in_hole,genet_d,PH_treatment,0.415,0.5196,WARN,"cox.zph chisq=0.41, df=1"
polyp_in_hole,genet_d,PH_GLOBAL,0.415,0.5196,WARN,"cox.zph chisq=0.41, df=1"
polyp_in_hole,genet_d,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
polyp_in_hole,genet_d,HR_direction,1.523,0.5844,PASS,HR(31C vs 28C)=1.52 — faster onset under 31C
wound_smoothed,overall_strata_thicket,PH_treatment,0.148,0.7003,PASS,"cox.zph chisq=0.15, df=1"
wound_smoothed,overall_strata_thicket,PH_GLOBAL,0.148,0.7003,PASS,"cox.zph chisq=0.15, df=1"
wound_smoothed,overall_strata_thicket,EPV,24,NA,PASS,"n_event=24, n_covariates=1 (rule of thumb: EPV >= 10)"
wound_smoothed,overall_strata_thicket,HR_direction,1.67,0.2517,PASS,HR(31C vs 28C)=1.67 — faster onset under 31C
wound_smoothed,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
wound_smoothed,genet_a,PH_treatment,0,1,WARN,"cox.zph chisq=0, df=1"
wound_smoothed,genet_a,PH_GLOBAL,0,1,WARN,"cox.zph chisq=0, df=1"
wound_smoothed,genet_a,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
wound_smoothed,genet_a,HR_direction,1,1,PASS,HR(31C vs 28C)=1 — slower onset under 31C
wound_smoothed,genet_c,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
wound_smoothed,genet_c,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
wound_smoothed,genet_c,HR_direction,1.781,0.455,PASS,HR(31C vs 28C)=1.78 — faster onset under 31C
wound_smoothed,genet_d,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
wound_smoothed,genet_d,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
wound_smoothed,genet_d,HR_direction,3.202,0.1884,PASS,HR(31C vs 28C)=3.2 — faster onset under 31C
