analysis,check,statistic,status,notes
PCA,Sample size (complete cases),48,PASS,48 corals with all 4 vars
PCA,Variance explained PC1,82.4%,INFO,cumulative = 82.4%
PCA,Variance explained PC2,13.2%,INFO,cumulative = 95.5%
PCA,Variance explained PC3,2.8%,INFO,cumulative = 98.4%
PCA,Variance explained PC4,1.6%,INFO,cumulative = 100.0%
PCA,PC1+PC2 cumulative variance,95.5%,PASS,Biplot interpretation supported
PCA,Kaiser criterion (eigenvalues > 1),1,INFO,"eigenvalues: 3.29, 0.53, 0.11, 0.07"
PCA,Centered AND scaled,"center=TRUE, scale=TRUE",PASS,Different units across PAM/color/growth/log-zoox require scaling
PCA,Top loader on PC1,color_end (+0.53),INFO,
PCA,Top loader on PC2,growth_pct (+0.91),INFO,
PCA,Top loader on PC3,pam_end (-0.78),INFO,
PCA,Top loader on PC4,color_end (-0.78),INFO,
PCA,PC1 biological interpretation,PAM=+0.52 color=+0.53 growth=+0.41 zoox=+0.53,PASS,"Expect health vars (PAM, color, zoox) to load same sign — consistent."
pam_fvfm,Null model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
pam_fvfm,Full model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
pam_fvfm,Saved model REML status (on disk),REML=FALSE,PASS,saved object at 13_pam_fvfm_genet_lmm.rds
pam_fvfm,"LRT df matches anova(m0,m1) Df","anova_df=14, reported=14",PASS,"fixed Δ=14 (null p_fx=10, full p_fx=24); total npar Δ=14 (incl. random-effect rebalance)"
pam_fvfm,Convergence / singular fits,"null sing=FALSE, full sing=FALSE, warns=0",PASS,no warnings
pam_fvfm,LRT p-value reproducibility,"recomputed=4.28e-11, reported=6.38e-11",PASS,
color_dscale,Null model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
color_dscale,Full model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
color_dscale,Saved model REML status (on disk),REML=FALSE,PASS,saved object at 13_color_dscale_genet_lmm.rds
color_dscale,"LRT df matches anova(m0,m1) Df","anova_df=14, reported=14",PASS,"fixed Δ=14 (null p_fx=10, full p_fx=24); total npar Δ=14 (incl. random-effect rebalance)"
color_dscale,Convergence / singular fits,"null sing=FALSE, full sing=FALSE, warns=0",PASS,no warnings
color_dscale,LRT p-value reproducibility,"recomputed=9.43e-29, reported=8.02e-25",PASS,
log_zoox,Null model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
log_zoox,Full model REML status,REML=FALSE,PASS,LRT on fixed effects requires REML=FALSE
log_zoox,Saved model REML status (on disk),REML=FALSE,PASS,saved object at 13_log_zoox_genet_lmm.rds
log_zoox,"LRT df matches anova(m0,m1) Df","anova_df=14, reported=14",PASS,"fixed Δ=14 (null p_fx=10, full p_fx=24); total npar Δ=14 (incl. random-effect rebalance)"
log_zoox,Convergence / singular fits,"null sing=FALSE, full sing=FALSE, warns=0",PASS,no warnings
log_zoox,LRT p-value reproducibility,"recomputed=2.04e-08, reported=2.04e-08",PASS,
growth_pct,Model type,ML LMM + LRT,INFO,Growth has no time dim; tank retained as random block
growth_pct,df = diff in fixed-effect parameters,"computed=6, reported=6",PASS,
growth_pct,LRT p-value,p=0.0559,NS,
emmeans,PAM Fv/Fm — direction of heat effect across genets,"Δ range = 0.111, sign mix = all same",INFO,a: -0.148; c: -0.037; d: -0.131
emmeans,Color (D-scale) — direction of heat effect across genets,"Δ range = 1.562, sign mix = all same",INFO,a: -1.875; c: -0.312; d: -1.562
emmeans,Growth (% mass change) — direction of heat effect across genets,"Δ range = 1.849, sign mix = all same",INFO,a: -2.596; c: -0.884; d: -2.733
emmeans,log10 symbionts cm⁻² (raw summary) — direction of heat effect across genets,"Δ range = 0.369, sign mix = all same",INFO,a: -0.583; c: -0.214; d: -0.517
