contrast,day,estimate,SE,df,t.ratio,p.value
28C no - 31C no,0,-9.238011285822474e-4,0.01384102829896576,13.515551312416969,-0.06674367746587703,0.9998876370343037
28C no - 28C yes,0,0.005869186046511509,0.00931328304210787,148.28403904295644,0.6301951760700639,0.9221815636926924
28C no - 31C yes,0,-0.0011165859812309912,0.014104709847936764,14.543768578351234,-0.07916405181453097,0.9998133282541468
31C no - 28C yes,0,0.006792987175093757,0.013841028298965764,13.515551312416974,0.4907863078064327,0.9598247282269257
31C no - 31C yes,0,-1.927848526487438e-4,0.009403473095647133,146.3651839119359,-0.020501452036693114,0.999996889684021
28C yes - 31C yes,0,-0.0069857720277425005,0.014104709847936766,14.543768578351226,-0.49527938561347845,0.9588839100901352
28C no - 31C no,3,0.019780358084298018,0.012699594051942681,9.607123749250611,1.557558297012823,0.44378695230110266
28C no - 28C yes,3,0.0051613372093022485,0.007431762289136776,72.6013237417197,0.6944970800326493,0.898877036839436
28C no - 31C yes,3,0.016974270255555594,0.0128842769239639,10.161532440852728,1.3174406569905819,0.5729430110366449
31C no - 28C yes,3,-0.01461902087499577,0.012699594051942681,9.607123749250633,-1.151140801446285,0.6688921401127148
31C no - 31C yes,3,-0.002806087828742422,0.007529862763092637,72.05377881797756,-0.37266121801002333,0.9822038807607609
28C yes - 31C yes,3,0.011812933046253346,0.012884276923963902,10.161532440852724,0.9168487386577413,0.7966550620768131
28C no - 31C no,6,0.04048451729717828,0.012106414755395548,7.9371196729872,3.344055041492385,0.041358111309880874
28C no - 28C yes,6,0.004453488372092987,0.006318868841302008,39.058621559784946,0.7047920259055958,0.8945809624447623
28C no - 31C yes,6,0.03506512649234218,0.012247694241506358,8.300995269989507,2.8629981938567304,0.07845822560841753
31C no - 28C yes,6,-0.03603102892508529,0.012106414755395548,7.937119672987203,-2.9761931713951153,0.0692570752801066
31C no - 31C yes,6,-0.0054193908048361,0.006425638648821414,39.23317211997887,-0.8434011155965206,0.8334172400102605
28C yes - 31C yes,6,0.030611638120249196,0.012247694241506358,8.30099526998951,2.4993796805041923,0.13198362852844392
28C no - 31C no,9,0.061188676510058555,0.012142109858230337,8.031113684471281,5.039377606074185,0.004362080593228512
28C no - 28C yes,9,0.0037456395348837257,0.006389701022461039,40.82397627036833,0.5861994984925079,0.9356828461190112
28C no - 31C yes,9,0.053155982729128776,0.012286053354702732,8.405445302431314,4.326530350674593,0.009775392596448884
31C no - 28C yes,9,-0.05744303697517482,0.012142109858230337,8.031113684471283,-4.730894189384884,0.006389200789637228
31C no - 31C yes,9,-0.00803269378092978,0.0064957911529862685,40.96399498830852,-1.2365997600210654,0.6076288970164951
28C yes - 31C yes,9,0.04941034319424504,0.012286053354702732,8.405445302431314,4.021661128089782,0.01483091500565803
28C no - 31C no,12,0.08189283572293882,0.012801419836219883,9.917596037044197,6.3971681868626895,3.9455473409177877e-4
28C no - 28C yes,12,0.003037790697674465,0.007611282276385651,79.0882573669963,0.39911680941059674,0.9783246566028914
28C no - 31C yes,12,0.07124683896591535,0.01299337793866212,10.508402746414227,5.483319218624327,0.0010837097189141387
31C no - 28C yes,12,-0.07885504502526434,0.012801419836219883,9.917596037044202,-6.159867111158614,5.334238052141504e-4
31C no - 31C yes,12,-0.010645996757023457,0.007708323112387717,78.39705499974926,-1.38110411328175,0.514874730946051
28C yes - 31C yes,12,0.06820904826824088,0.012993377938662119,10.508402746414223,5.249523918278646,0.0015201820214415518
28C no - 31C no,14,0.09569560853152566,0.013546053458325146,12.41289544102257,7.064464113177773,5.645051526137479e-5
28C no - 28C yes,14,0.0025658914728682904,0.008850740135286231,128.9487912650527,0.2899069946295864,0.9914760545796926
28C no - 31C yes,14,0.08330740979043975,0.013789826216581773,13.304518288702585,6.041222600054638,1.946704671587085e-4
31C no - 28C yes,14,-0.09312971705865736,0.013546053458325146,12.41289544102257,-6.8750442588443805,7.401188107625245e-5
31C no - 31C yes,14,-0.012388198741085907,0.008942310297271033,127.29113507871052,-1.3853465524302453,0.5108303058011063
28C yes - 31C yes,14,0.08074151831757145,0.013789826216581771,13.304518288702585,5.855151257851435,2.6428921906129776e-4
