contrast,thicket,wound,day,estimate,SE,df,t.ratio,p.value,response,biopsy_day_c
28C - 31C,a,no,0,-0.00647,0.01776,33.20725,-0.36439,0.71788,pam_fvfm,NA
28C - 31C,c,no,0,-0.00523,0.01721,29.67339,-0.30405,0.76321,pam_fvfm,NA
28C - 31C,d,no,0,0.00628,0.01776,33.20725,0.35336,0.72605,pam_fvfm,NA
28C - 31C,a,yes,0,-0.01633,0.01776,33.20725,-0.91954,0.36445,pam_fvfm,NA
28C - 31C,c,yes,0,0.02679,0.01874,39.62154,1.42978,0.16062,pam_fvfm,NA
28C - 31C,d,yes,0,-0.02104,0.01776,33.20725,-1.18451,0.24462,pam_fvfm,NA
28C - 31C,a,no,3,0.0229,0.01544,19.30488,1.48363,0.15405,pam_fvfm,NA
28C - 31C,c,no,3,0.00662,0.01506,17.65973,0.43956,0.66559,pam_fvfm,NA
28C - 31C,d,no,3,0.02952,0.01544,19.30488,1.91194,0.07084,pam_fvfm,NA
28C - 31C,a,yes,3,0.0098,0.01544,19.30488,0.63475,0.53304,pam_fvfm,NA
28C - 31C,c,yes,3,0.02401,0.01616,22.44254,1.48584,0.15124,pam_fvfm,NA
28C - 31C,d,yes,3,0.00704,0.01544,19.30488,0.45573,0.65367,pam_fvfm,NA
28C - 31C,a,no,6,0.05228,0.01417,13.74897,3.6887,0.0025,pam_fvfm,NA
28C - 31C,c,no,6,0.01847,0.0139,12.82742,1.32927,0.20692,pam_fvfm,NA
28C - 31C,d,no,6,0.05275,0.01417,13.74897,3.72233,0.00234,pam_fvfm,NA
28C - 31C,a,yes,6,0.03593,0.01417,13.74897,2.53509,0.02405,pam_fvfm,NA
28C - 31C,c,yes,6,0.02123,0.01475,15.60842,1.4398,0.16968,pam_fvfm,NA
28C - 31C,d,yes,6,0.03511,0.01417,13.74897,2.47713,0.02689,pam_fvfm,NA
28C - 31C,a,no,9,0.08165,0.01425,14.05175,5.73002,5e-5,pam_fvfm,NA
28C - 31C,c,no,9,0.03033,0.01397,13.09183,2.17107,0.04889,pam_fvfm,NA
28C - 31C,d,no,9,0.07599,0.01425,14.05175,5.33294,1e-4,pam_fvfm,NA
28C - 31C,a,yes,9,0.06206,0.01425,14.05175,4.35497,6.5e-4,pam_fvfm,NA
28C - 31C,c,yes,9,0.01845,0.01483,15.9792,1.244,0.23144,pam_fvfm,NA
28C - 31C,d,yes,9,0.06318,0.01425,14.05175,4.43361,5.6e-4,pam_fvfm,NA
28C - 31C,a,no,12,0.11103,0.01565,20.37251,7.09448,0,pam_fvfm,NA
28C - 31C,c,no,12,0.04218,0.01526,18.58476,2.76458,0.01251,pam_fvfm,NA
28C - 31C,d,no,12,0.09923,0.01565,20.37251,6.34089,0,pam_fvfm,NA
28C - 31C,a,yes,12,0.08819,0.01565,20.37251,5.63507,2e-5,pam_fvfm,NA
28C - 31C,c,yes,12,0.01567,0.0164,23.76077,0.95587,0.34876,pam_fvfm,NA
28C - 31C,d,yes,12,0.09125,0.01565,20.37251,5.83078,1e-5,pam_fvfm,NA
28C - 31C,a,no,14,0.13061,0.01717,29.20927,7.60638,0,pam_fvfm,NA
28C - 31C,c,no,14,0.05009,0.01667,26.22168,3.00526,0.00578,pam_fvfm,NA
28C - 31C,d,no,14,0.11473,0.01717,29.20927,6.68136,0,pam_fvfm,NA
28C - 31C,a,yes,14,0.10561,0.01717,29.20927,6.15028,0,pam_fvfm,NA
28C - 31C,c,yes,14,0.01382,0.01809,34.68605,0.76414,0.44995,pam_fvfm,NA
28C - 31C,d,yes,14,0.10997,0.01717,29.20927,6.40405,0,pam_fvfm,NA
28C - 31C,a,no,0,-0.00523,0.21807000000000001,28.18139,-0.02399,0.98103,color_dscale,NA
28C - 31C,c,no,0,-0.12209,0.21807000000000001,28.18139,-0.55987,0.57999,color_dscale,NA
28C - 31C,d,no,0,-0.24215,0.21807000000000001,28.18139,-1.11041,0.27621,color_dscale,NA
28C - 31C,a,yes,0,0.05872,0.21807000000000001,28.18139,0.26927,0.78968,color_dscale,NA
28C - 31C,c,yes,0,-0.02064,0.21807000000000001,28.18139,-0.09465,0.92527,color_dscale,NA
28C - 31C,d,yes,0,0.03081,0.21807000000000001,28.18139,0.1413,0.88864,color_dscale,NA
28C - 31C,a,no,3,0.38895,0.20401,21.67205,1.90654,0.06993,color_dscale,NA
28C - 31C,c,no,3,0.01308,0.20401,21.67205,0.06412,0.94946,color_dscale,NA
28C - 31C,d,no,3,0.10407,0.20401,21.67205,0.51012,0.61512,color_dscale,NA
28C - 31C,a,yes,3,0.42674,0.20401,21.67205,2.09178,0.0484,color_dscale,NA
28C - 31C,c,yes,3,0.01337,0.20401,21.67205,0.06555,0.94834,color_dscale,NA
28C - 31C,d,yes,3,0.37616,0.20401,21.67205,1.84384,0.07892,color_dscale,NA
28C - 31C,a,no,6,0.78314,0.19682,18.78396,3.97902,8.2e-4,color_dscale,NA
28C - 31C,c,no,6,0.14826,0.19682,18.78396,0.75327,0.46063,color_dscale,NA
28C - 31C,d,no,6,0.45029,0.19682,18.78396,2.28786,0.03392,color_dscale,NA
28C - 31C,a,yes,6,0.79477,0.19682,18.78396,4.0381,7.2e-4,color_dscale,NA
28C - 31C,c,yes,6,0.04738,0.19682,18.78396,0.24075,0.81236,color_dscale,NA
