contrast,thicket,wound,estimate,SE,df,t.ratio,p.value,response,odds.ratio,null,z.ratio
28C - 31C,a,no,0.13061,0.01717,29.20927,7.60638,0,pam_fvfm,NA,NA,NA
28C - 31C,c,no,0.05009,0.01667,26.22168,3.00526,0.00578,pam_fvfm,NA,NA,NA
28C - 31C,d,no,0.11473,0.01717,29.20927,6.68136,0,pam_fvfm,NA,NA,NA
28C - 31C,a,yes,0.10561,0.01717,29.20927,6.15028,0,pam_fvfm,NA,NA,NA
28C - 31C,c,yes,0.01382,0.01809,34.68605,0.76414,0.44995,pam_fvfm,NA,NA,NA
28C - 31C,d,yes,0.10997,0.01717,29.20927,6.40405,0,pam_fvfm,NA,NA,NA
28C - 31C,a,no,1.8343,0.21441,26.37465,8.555,0,color_dscale,NA,NA,NA
28C - 31C,c,no,0.50872,0.21441,26.37465,2.37262,0.02523,color_dscale,NA,NA,NA
28C - 31C,d,no,1.37355,0.21441,26.37465,6.40608,0,color_dscale,NA,NA,NA
28C - 31C,a,yes,1.77616,0.21441,26.37465,8.28384,0,color_dscale,NA,NA,NA
28C - 31C,c,yes,0.13808,0.21441,26.37465,0.644,0.52514,color_dscale,NA,NA,NA
28C - 31C,d,yes,1.64244,0.21441,26.37465,7.66018,0,color_dscale,NA,NA,NA
28C - 31C,a,no,2.21281,1.06134,15.24621,2.08492,0.05429,growth_pct,NA,NA,NA
28C - 31C,c,no,1.54111,1.0383,14.1564,1.48427,0.15966,growth_pct,NA,NA,NA
28C - 31C,d,no,2.32423,1.06134,15.24621,2.1899,0.04448,growth_pct,NA,NA,NA
28C - 31C,a,yes,2.97875,1.06134,15.24621,2.80659,0.01312,growth_pct,NA,NA,NA
28C - 31C,c,yes,0.16928,1.10997,17.37294,0.15251,0.88054,growth_pct,NA,NA,NA
28C - 31C,d,yes,3.14144,1.06134,15.24621,2.95988,0.0096,growth_pct,NA,NA,NA
28C - 31C,a,no,2.63604,0.30266,81.21932,8.7096,0,log_zoox_density,NA,NA,NA
28C - 31C,c,no,1.02338,0.29317,74.76584,3.49077,8.1e-4,log_zoox_density,NA,NA,NA
28C - 31C,d,no,2.55765,0.30266,81.21932,8.4506,0,log_zoox_density,NA,NA,NA
28C - 31C,a,yes,2.30914,0.30266,81.21932,7.62951,0,log_zoox_density,NA,NA,NA
28C - 31C,c,yes,0.79804,0.31671,89.95619,2.5198,0.01351,log_zoox_density,NA,NA,NA
28C - 31C,d,yes,2.00488,0.30266,81.21932,6.62422,0,log_zoox_density,NA,NA,NA
28C / 31C,a,NA,NA,16.56543,Inf,NA,0.0082,morph_polyps_out,15.84905,1,2.64362
28C / 31C,c,NA,NA,1.99598,Inf,NA,0.7179,morph_polyps_out,1.57886,1,0.36126
28C / 31C,d,NA,NA,10.9559,Inf,NA,0.02614,morph_polyps_out,10.40379,1,2.22414
28C / 31C,a,NA,NA,0,Inf,NA,0.99999,morph_axial_polyp_formation,0,1,-1e-5
28C / 31C,c,NA,NA,0.08244,Inf,NA,0.97571,morph_axial_polyp_formation,3.1e-4,1,-0.03045
28C / 31C,d,NA,NA,755213.33253,Inf,NA,0.9999,morph_axial_polyp_formation,28.09526,1,1.2e-4
28C / 31C,a,NA,NA,0.00218,Inf,NA,0,morph_wound_smoothed,0.04642,1,-65.51829
28C / 31C,c,NA,NA,0,Inf,NA,0,morph_wound_smoothed,0,1,-3792.95426
28C / 31C,d,NA,NA,0,Inf,NA,0,morph_wound_smoothed,0,1,-4809.3788
28C / 31C,a,NA,NA,9e-5,Inf,NA,0.99889,morph_pigment_over_wound,0,1,-0.00139
28C / 31C,c,NA,NA,5114266617410599e62,Inf,NA,0.99725,morph_pigment_over_wound,10490096626486512e57,1,0.00345
28C / 31C,d,NA,NA,4900195112297.427,Inf,NA,0.99916,morph_pigment_over_wound,266194127.4384,1,0.00105
28C / 31C,a,NA,NA,13696018989354203e62,Inf,NA,0.99845,morph_tip_exist,1576418771267846e58,1,0.00194
28C / 31C,c,NA,NA,0.02861,Inf,NA,0.08407,morph_tip_exist,0.01095,1,-1.72756
28C / 31C,d,NA,NA,1128044449149039e66,Inf,NA,0.99766,morph_tip_exist,18844186611794372e60,1,0.00293
28C / 31C,a,NA,NA,7991705856524981e30,Inf,NA,0,morph_tip_extension,1037547004239287e32,1,1405.49637
28C / 31C,c,NA,NA,1.00039,Inf,NA,0,morph_tip_extension,13.1896,1,34.00847
28C / 31C,d,NA,NA,43368674843771145e30,Inf,NA,0,morph_tip_extension,4618225616924626e32,1,1168.71737
28C / 31C,a,NA,NA,432561897737821440,Inf,NA,1,morph_new_corallites_on_tip,43711516745.39449,1,0
28C / 31C,c,NA,NA,227601.50814,Inf,NA,0.94387,morph_new_corallites_on_tip,2095.44796,1,0.07041
28C / 31C,d,NA,NA,0,Inf,NA,0.99998,morph_new_corallites_on_tip,0,1,-2e-5
