effect,term,estimate,std.error,statistic,p.value,response
fixed,(Intercept),1.7737926100524857,0.3242910516903466,5.469755026562416,4.5065803571792564e-8,morph_polyps_out
fixed,treatment1,-0.20714907529577078,0.32429105169034667,-0.6387751811714177,0.5229691961285625,morph_polyps_out
fixed,day,0.09038595781120794,0.0481230905481735,1.8782242948575236,0.06035048795330651,morph_polyps_out
fixed,thicket1,0.2809085470997431,0.43749443662955945,0.6420848440127649,0.5208180959951985,morph_polyps_out
fixed,thicket2,-0.2374763458837595,0.43950192828204615,-0.5403306119998667,0.5889690508488938,morph_polyps_out
fixed,treatment1:day,0.1134146432968485,0.0481230905481735,2.356761421698697,0.018435086613468963,morph_polyps_out
fixed,treatment1:thicket1,-0.2808679486473179,0.4374944366295603,-0.641992046370037,0.5208783472381718,morph_polyps_out
fixed,treatment1:thicket2,0.2374180157276003,0.4395019282820467,0.5401978932279888,0.5890605654292616,morph_polyps_out
fixed,day:thicket1,-0.07354913486547389,0.06634212714360313,-1.1086339560121516,0.26758812346899263,morph_polyps_out
fixed,day:thicket2,0.09361533408831159,0.07159858268941727,1.307502614882746,0.19104206741861876,morph_polyps_out
fixed,treatment1:day:thicket1,0.07354254834217717,0.06634212714360324,1.1085346748527976,0.26763097257894924,morph_polyps_out
fixed,treatment1:day:thicket2,-0.09360632424743835,0.07159858268941735,-1.3073767766254103,0.19108478056622058,morph_polyps_out
fixed,(Intercept),-81.09880792694518,544526.9372059569,-1.48934428006582e-4,0.9998811675197609,morph_hole_in_center
fixed,treatment1,13.187593817153278,544526.9372076275,2.421844157936463e-5,0.999980676479379,morph_hole_in_center
fixed,day,29.851799634785955,181508.97743316897,1.6446459044031192e-4,0.9998687762430805,morph_hole_in_center
fixed,thicket1,-15.625354679241653,1089048.7858436974,-1.4347708644784475e-5,0.9999885521847898,morph_hole_in_center
fixed,thicket2,19.13374225093522,544526.9492498026,3.513828338027322e-5,0.9999719637062036,morph_hole_in_center
fixed,treatment1:day,-3.1131659714470015,181508.97743372602,-1.715158123560971e-5,0.9999863150181394,morph_hole_in_center
fixed,treatment1:thicket1,7.963678034980095,1089048.7858470406,7.3125080698621815e-6,0.9999941654627104,morph_hole_in_center
fixed,treatment1:thicket2,-11.982492774967046,544526.9492514746,-2.2005325524179457e-5,0.9999824422905103,morph_hole_in_center
fixed,day:thicket1,6.783191798290663,363016.26169336314,1.868564170279614e-5,0.9999850910149776,morph_hole_in_center
fixed,day:thicket2,-5.147457619551966,181508.9782311053,-2.8359245199419248e-5,0.9999773725961024,morph_hole_in_center
fixed,treatment1:day:thicket1,-4.148143923319931,363016.2616944776,-1.1426881826057422e-5,0.9999908826674131,morph_hole_in_center
fixed,treatment1:day:thicket2,2.5888387576754277,181508.97823166262,1.4262868883385229e-5,0.9999886198771256,morph_hole_in_center
fixed,(Intercept),-109.26243890209206,0.0017369869153399547,-62903.432338583705,0,morph_wound_smoothed
fixed,treatment1,30.230685085671734,0.001703418718995022,17747.06638395235,0,morph_wound_smoothed
fixed,day,30.518715799914013,0.0016451027484744101,18551.25208940026,0,morph_wound_smoothed
fixed,thicket1,33.62473855018878,0.001645224070566683,20437.78665273663,0,morph_wound_smoothed
fixed,thicket2,-13.263040431295337,0.001802254564857659,-7359.138209392104,0,morph_wound_smoothed
fixed,treatment1:day,-10.720251578470931,0.0016451059485831352,-6516.450559128949,0,morph_wound_smoothed
fixed,treatment1:thicket1,-29.51560463582396,0.0017658388604102604,-16714.7780567965,0,morph_wound_smoothed
fixed,treatment1:thicket2,9.7236713195948,0.0017369934196757274,5597.989727220772,0,morph_wound_smoothed
fixed,day:thicket1,-9.021882610554668,0.0016451382514700052,-5483.966227454263,0,morph_wound_smoothed
