library_id,fragment_id,Temp_C,Day,Wound,Tank,Genotype,Plate,WoundOrder
28C_T3_A_D1_U_id111,111,28,1,U,3,A,1,1
28C_T3_A_D1_W_id209,209,28,1,W,3,A,1,0
28C_T3_C_D1_U_id298,298,28,1,U,3,C,1,1
28C_T3_C_D1_W_id296,296,28,1,W,3,C,1,0
28C_T3_D_D1_U_id246,246,28,1,U,3,D,2,1
28C_T3_D_D1_W_id203,203,28,1,W,3,D,2,0
28C_T6_A_D1_U_id192,192,28,1,U,6,A,2,1
28C_T6_A_D1_W_id140,140,28,1,W,6,A,2,0
28C_T6_C_D1_U_id280,280,28,1,U,6,C,2,1
28C_T6_C_D1_W_id268,268,28,1,W,6,C,2,0
28C_T6_D_D1_U_id222,222,28,1,U,6,D,1,1
28C_T6_D_D1_W_id238,238,28,1,W,6,D,1,0
28C_T9_A_D1_U_id148,148,28,1,U,9,A,1,1
28C_T9_A_D1_W_id159,159,28,1,W,9,A,1,0
28C_T9_C_D1_U_id261,261,28,1,U,9,C,1,1
28C_T9_C_D1_W_id288,288,28,1,W,9,C,1,0
28C_T9_D_D1_U_id257,257,28,1,U,9,D,2,1
28C_T9_D_D1_W_id227,227,28,1,W,9,D,2,0
28C_T12_A_D1_U_id151,151,28,1,U,12,A,2,1
28C_T12_A_D1_W_id164,164,28,1,W,12,A,2,0
28C_T12_C_D1_U_id287,287,28,1,U,12,C,2,1
28C_T12_C_D1_W_id294,294,28,1,W,12,C,2,0
28C_T12_D_D1_U_id234,234,28,1,U,12,D,1,1
28C_T12_D_D1_W_id231,231,28,1,W,12,D,1,0
28C_T3_A_D3_U_id134,134,28,3,U,3,A,2,1
28C_T3_A_D3_W_id160,160,28,3,W,3,A,2,0
28C_T3_C_D3_U_id290,290,28,3,U,3,C,2,1
28C_T3_C_D3_W_id250,250,28,3,W,3,C,2,0
28C_T3_D_D3_U_id242,242,28,3,U,3,D,1,1
28C_T3_D_D3_W_id247,247,28,3,W,3,D,1,0
28C_T6_A_D3_U_id194,194,28,3,U,6,A,1,1
28C_T6_A_D3_W_id208,208,28,3,W,6,A,1,0
28C_T6_C_D3_U_id281,281,28,3,U,6,C,1,1
28C_T6_C_D3_W_id282,282,28,3,W,6,C,1,0
28C_T6_D_D3_U_id220,220,28,3,U,6,D,2,1
28C_T6_D_D3_W_id245,245,28,3,W,6,D,2,0
28C_T9_A_D3_U_id157,157,28,3,U,9,A,2,1
28C_T9_A_D3_W_id187,187,28,3,W,9,A,2,0
28C_T9_C_D3_U_id271,271,28,3,U,9,C,2,1
28C_T9_C_D3_W_id272,272,28,3,W,9,C,2,0
28C_T9_D_D3_U_id229,229,28,3,U,9,D,1,1
28C_T9_D_D3_W_id218,218,28,3,W,9,D,1,0
28C_T12_A_D3_U_id190,190,28,3,U,12,A,1,1
28C_T12_A_D3_W_id167,167,28,3,W,12,A,1,0
28C_T12_C_D3_U_id273,273,28,3,U,12,C,1,1
28C_T12_C_D3_W_id301,301,28,3,W,12,C,1,0
28C_T12_D_D3_U_id201,201,28,3,U,12,D,2,1
28C_T12_D_D3_W_id223,223,28,3,W,12,D,2,0
28C_T3_A_D10_U_id114,114,28,10,U,3,A,1,1
28C_T3_A_D10_W_id191,191,28,10,W,3,A,1,0
28C_T3_C_D10_U_id279,279,28,10,U,3,C,1,1
28C_T3_C_D10_W_id291,291,28,10,W,3,C,1,0
28C_T3_D_D10_U_id204,204,28,10,U,3,D,2,1
28C_T3_D_D10_W_id258,258,28,10,W,3,D,2,0
28C_T6_A_D10_U_id199,199,28,10,U,6,A,2,1
28C_T6_A_D10_W_id135,135,28,10,W,6,A,2,0
28C_T6_C_D10_U_id267,267,28,10,U,6,C,2,1
28C_T6_C_D10_W_id292,292,28,10,W,6,C,2,0
28C_T6_D_D10_U_id232,232,28,10,U,6,D,1,1
28C_T6_D_D10_W_id248,248,28,10,W,6,D,1,0
28C_T9_A_D10_U_id137,137,28,10,U,9,A,1,1
28C_T9_A_D10_W_id189,189,28,10,W,9,A,1,0
28C_T9_C_D10_U_id253,253,28,10,U,9,C,1,1
28C_T9_C_D10_W_id285,285,28,10,W,9,C,1,0
28C_T9_D_D10_U_id217,217,28,10,U,9,D,2,1
28C_T9_D_D10_W_id237,237,28,10,W,9,D,2,0
28C_T12_A_D10_U_id196,196,28,10,U,12,A,2,1
28C_T12_A_D10_W_id213,213,28,10,W,12,A,2,0
28C_T12_C_D10_U_id275,275,28,10,U,12,C,2,1
28C_T12_C_D10_W_id252,252,28,10,W,12,C,2,0
28C_T12_D_D10_U_id202,202,28,10,U,12,D,1,1
28C_T12_D_D10_W_id243,243,28,10,W,12,D,1,0
31C_T4_A_D1_U_id182,182,31,1,U,4,A,1,1
31C_T4_A_D1_W_id197,197,31,1,W,4,A,1,0
31C_T4_C_D1_U_id274,274,31,1,U,4,C,1,1
31C_T4_C_D1_W_id276,276,31,1,W,4,C,1,0
31C_T4_D_D1_U_id249,249,31,1,U,4,D,2,1
31C_T4_D_D1_W_id224,224,31,1,W,4,D,2,0
31C_T5_A_D1_U_id198,198,31,1,U,5,A,2,1
31C_T5_A_D1_W_id183,183,31,1,W,5,A,2,0
31C_T5_C_D1_U_id278,278,31,1,U,5,C,2,1
31C_T5_C_D1_W_id263,263,31,1,W,5,C,2,0
31C_T5_D_D1_U_id200,200,31,1,U,5,D,1,1
31C_T5_D_D1_W_id226,226,31,1,W,5,D,1,0
31C_T10_A_D1_U_id171,171,31,1,U,10,A,1,1
31C_T10_A_D1_W_id210,210,31,1,W,10,A,1,0
31C_T10_C_D1_U_id262,262,31,1,U,10,C,1,1
31C_T10_C_D1_W_id254,254,31,1,W,10,C,1,0
31C_T10_D_D1_U_id259,259,31,1,U,10,D,2,1
31C_T10_D_D1_W_id256,256,31,1,W,10,D,2,0
31C_T11_A_D1_U_id188,188,31,1,U,11,A,2,1
31C_T11_A_D1_W_id181,181,31,1,W,11,A,2,0
31C_T11_C_D1_U_id264,264,31,1,U,11,C,2,1
31C_T11_C_D1_W_id300,300,31,1,W,11,C,2,0
31C_T11_D_D1_U_id244,244,31,1,U,11,D,1,1
31C_T11_D_D1_W_id228,228,31,1,W,11,D,1,0
31C_T4_A_D3_U_id211,211,31,3,U,4,A,2,1
31C_T4_A_D3_W_id138,138,31,3,W,4,A,2,0
31C_T4_C_D3_U_id289,289,31,3,U,4,C,2,1
31C_T4_C_D3_W_id295,295,31,3,W,4,C,2,0
31C_T4_D_D3_U_id236,236,31,3,U,4,D,1,1
31C_T4_D_D3_W_id206,206,31,3,W,4,D,1,0
31C_T5_A_D3_U_id153,153,31,3,U,5,A,1,1
31C_T5_A_D3_W_id212,212,31,3,W,5,A,1,0
31C_T5_C_D3_U_id297,297,31,3,U,5,C,1,1
31C_T5_C_D3_W_id270,270,31,3,W,5,C,1,0
31C_T5_D_D3_U_id239,239,31,3,U,5,D,2,1
31C_T5_D_D3_W_id221,221,31,3,W,5,D,2,0
31C_T10_A_D3_U_id155,155,31,3,U,10,A,2,1
31C_T10_A_D3_W_id193,193,31,3,W,10,A,2,0
31C_T10_C_D3_U_id255,255,31,3,U,10,C,2,1
31C_T10_C_D3_W_id266,266,31,3,W,10,C,2,0
31C_T10_D_D3_U_id241,241,31,3,U,10,D,1,1
31C_T10_D_D3_W_id216,216,31,3,W,10,D,1,0
31C_T11_A_D3_U_id168,168,31,3,U,11,A,1,1
31C_T11_A_D3_W_id112,112,31,3,W,11,A,1,0
31C_T11_C_D3_U_id284,284,31,3,U,11,C,1,1
31C_T11_C_D3_W_id265,265,31,3,W,11,C,1,0
31C_T11_D_D3_U_id185,185,31,3,U,11,D,2,1
31C_T11_D_D3_W_id219,219,31,3,W,11,D,2,0
31C_T4_A_D10_U_id142,142,31,10,U,4,A,1,1
31C_T4_A_D10_W_id136,136,31,10,W,4,A,1,0
31C_T4_C_D10_U_id293,293,31,10,U,4,C,1,1
31C_T4_C_D10_W_id260,260,31,10,W,4,C,1,0
31C_T4_D_D10_U_id230,230,31,10,U,4,D,2,1
